127.0.0.1 - - [29/Aug/2019:22:16:49 -0400] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:16:54 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:11 -0400] "GET /phpems/index.php?exam-app-lesson-paper HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:20 -0400] "GET /Demo/search?lat=37.38&lon=%C2%AD120.08 HTTP/1.1" 500 1720
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:24 -0400] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:24 -0400] "GET /Demo/ HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:24 -0400] "GET /Demo/styles/main.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:24 -0400] "GET /Demo/scripts/mock.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:24 -0400] "GET /Demo/scripts/main.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:24 -0400] "GET /Demo/scripts/mock.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:25 -0400] "GET /Demo/scripts/main.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:17:42 -0400] "GET /Demo/styles/main.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:18:24 -0400] "GET /Demo/ HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:18:24 -0400] "GET /Demo/Scripts/main.js HTTP/1.1" 200 5899
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:18:24 -0400] "GET /Demo/Scripts/mock.js HTTP/1.1" 200 16086
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:18:24 -0400] "GET /Demo/Styles/main.css HTTP/1.1" 200 3807
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:18:24 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:19:05 -0400] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:19:05 -0400] "GET /Demo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:19:05 -0400] "GET /Demo/Styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:19:06 -0400] "GET /Demo/Scripts/mock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2019:22:19:06 -0400] "GET /Demo/Scripts/main.js HTTP/1.1" 304 -
